Skill,Honeywell,CVS,HomeDepot,Intel,Gap,Rite Aid,Facebook,AAP,Best Buy,AmeriSource Bergen,Murphy USA,Jabil,General Motors,Marriott International,General Electronics,AT&T,Verizon,Darden Restaurants,Cintas,Lockheed Martin,Quest Diagnostics,PayPal,Goodyear Tire & Rubber,McKesson,ExxonMobil,Albertsons,ADP,DaVita,Well Forgo,Danaher,Berkshire_Hathaway,XPO_Logistics,UPS,Amazon,Anthem,Apple,Bank of America,BNY Mellon,CBRE,Cisco,L3 Harris,HCA HealthCare,Kroger,Microsoft,Raytheon Technologies,MC Donalds,UHG,Walgreens,Truist,Walmart,Walt Disney,Cognizant,Target,Tenet Healthcare,Dell,Total
accountability,73,500,61,10,41,189,101,20,1,11,2,32,58,15,66,25,26,1,912,84,30,67,23,38,13,75,57,146,1754,51,0,10,13,159,139,82,103,35,231,2076,59,190,33,502,145,14,106,13,25,507,49,19,272,221,198,9683
troubleshooting,297,1,87,39,11,8,85,31,160,18,0,83,44,45,133,72,86,0,131,364,104,132,141,35,58,33,103,10,135,230,1,40,244,467,39,250,56,46,445,394,217,17,20,568,574,3,92,7,19,201,87,2484,57,80,468,9552
automation,304,0,78,105,26,2,126,32,12,6,1,68,68,0,75,65,199,0,0,79,8,112,8,42,24,35,57,3,525,143,3,37,6,629,24,378,82,96,32,589,35,5,6,589,172,1,136,600,340,52,55,2465,85,8,823,9451
nursing,0,7,1,3,0,0,0,0,0,33,0,0,3,0,2,0,0,0,0,0,36,0,0,44,1,1,0,2687,0,3,1,0,0,9,260,0,0,0,0,0,0,2226,81,0,0,0,654,0,1,5,1,37,0,3221,0,9317
asset protection,0,4,286,0,3,151,0,20,100,0,1,0,0,43,0,0,0,0,0,1,0,0,0,0,0,13,0,0,1,3,0,0,0,23,0,1,2,0,2,0,0,0,53,0,4,0,1,7575,0,269,0,0,710,0,0,9266
process improvements,146,0,76,22,21,4,166,15,2,29,1,129,25,18,125,14,54,0,6,109,84,55,21,33,14,20,68,53,175,134,0,58,18,1025,205,117,46,208,84,104,132,56,49,107,245,2,190,20,14,412,58,3737,332,120,272,9230
sign languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9202,0,0,9203
teamwork,72,1,13,44,34,0,20,0,2,53,1,62,63,463,28,3,30,0,2947,68,27,42,728,15,22,303,242,5,36,139,12,11,113,302,28,175,46,31,29,173,30,104,894,247,133,34,77,708,9,4,72,38,58,101,265,9157
merchandising,1,59,257,0,543,1039,6,93,298,3,31,0,1,6,0,744,1,0,0,0,1,0,12,3,0,304,0,0,1,1,0,0,0,169,0,100,0,0,0,0,0,0,1025,10,0,1,2,35,0,1231,36,2,2916,0,51,8982
java,92,0,46,34,21,0,175,19,13,6,0,8,100,1,113,88,188,0,0,244,6,415,18,6,15,40,111,4,402,22,0,13,10,1964,39,511,111,186,26,513,62,1,2,72,238,4,214,6,34,137,93,1572,62,1,873,8931
research,159,3,63,164,50,8,546,95,43,55,2,41,51,12,110,80,72,0,10,152,43,219,21,41,5,53,118,37,266,453,7,64,66,613,231,207,160,208,364,156,100,93,58,769,222,5,286,25,83,106,183,874,55,101,568,8576
closing,62,912,12,5,221,65,20,7,376,9,6,13,1,505,35,95,756,0,0,8,29,50,35,4,6,24,190,3,315,63,3,12,4,176,3,16,92,30,68,171,25,9,884,56,33,32,109,22,80,33,37,607,256,19,1938,8542
go,29,0,1491,31,5,221,63,1,0,2,0,6,22,76,30,9,68,498,0,50,7,54,118,6,1,5,29,96,9,40,0,4,1,232,64,129,6,10,23,255,14,5,7,109,337,1720,1249,0,16,13,23,739,7,2,446,8378
machine learning,51,0,19,55,2,0,427,4,6,5,0,7,23,0,24,95,29,0,0,101,0,168,0,5,7,16,261,2,74,22,3,13,7,1312,42,531,30,43,10,346,29,0,2,953,52,8,63,1,7,85,45,84,19,0,3274,8362
basic math,3,0,35,0,0,0,0,2772,0,0,0,4,2,0,2,0,0,0,0,0,0,0,1,0,0,34,0,0,0,8,2,55,0,0,0,0,0,0,0,0,25,2,2094,0,7,0,1,0,0,3037,1,0,73,1,0,8159
analytics,199,8,116,25,60,6,346,41,21,23,4,18,38,7,87,111,132,0,1,107,34,365,12,57,29,76,58,43,585,96,10,33,12,1123,224,245,103,143,96,407,33,8,33,747,128,11,264,25,37,238,238,732,48,6,488,8137
military services,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0,595,51,0,0,2,0,0,0,0,0,2,0,0,0,0,5,0,0,1,0,0,1,7,1,0,0,7,0,0,0,0,603,0,557,0,6,5919,7769
scale,69,0,21,72,30,0,416,7,9,4,0,2,33,2,375,119,51,0,0,31,32,390,4,10,8,75,63,5,99,82,0,2,2,1798,110,326,19,160,77,336,12,58,70,1331,61,10,90,3,5,519,92,191,35,2,443,7761
prescription,3,503,0,0,0,861,0,0,0,24,0,46,0,0,23,0,0,0,0,0,1,0,284,6,0,55,0,3,0,0,0,0,27,6,22,1,0,0,0,0,0,27,530,0,0,1,299,546,0,4305,0,8,0,53,0,7634
perspective,53,1,45,30,22,1,109,37,2,26,1,10,595,7,67,41,37,21,0,20,15,108,8,103,35,222,652,31,74,1207,0,7,5,238,83,148,26,49,63,374,20,7,3,487,93,4,26,8,12,257,68,1849,8,42,131,7588
sql,153,1,96,27,20,2,352,26,12,26,3,22,51,3,68,70,171,0,1,150,19,333,15,34,41,46,108,25,363,58,13,79,30,1225,281,283,143,164,51,166,36,2,8,112,69,2,346,10,81,145,135,1404,28,9,469,7587
software development,330,0,62,114,24,4,106,28,9,8,0,19,124,2,169,168,121,0,0,370,16,274,13,14,12,23,81,2,92,59,9,16,0,1641,13,452,54,225,24,463,175,5,7,223,381,4,209,7,41,41,72,156,92,4,857,7415
microsoft office,199,6,87,14,16,6,24,36,17,43,0,23,12,15,64,2,58,0,586,208,102,58,33,45,15,27,219,115,438,213,2,609,90,329,154,1,49,44,258,48,269,27,120,43,435,4,473,2,1175,161,101,3,9,154,72,7313
customer satisfaction,183,0,191,3,5,3,29,359,4,24,2,66,13,153,193,75,50,0,155,25,156,44,57,26,2,117,34,1,45,137,0,41,19,162,68,42,6,9,125,200,57,29,231,429,97,3,47,26,2,3056,3,149,0,63,287,7303
supply chain,221,0,77,181,47,4,154,10,23,13,1,169,25,0,119,11,21,0,99,113,12,4,34,46,21,66,2,2,23,171,0,2291,62,907,1,251,1,3,96,124,154,80,197,194,534,2,10,26,2,253,29,31,129,10,219,7275
code review,11,0,2,6,9,0,22,17,4,4,0,12,16,0,11,2,43,0,0,6,1,47,0,4,0,6,8,0,81,8,7,12,0,912,70,53,5,168,11,47,20,0,4,182,31,0,45,0,2,72,15,4880,55,0,172,7083
financial services,1,0,2,1,1,0,40,6,0,2,0,0,0,4,5,0,20,0,0,1,0,1978,0,0,1,0,10,0,1754,0,0,0,0,164,57,22,1400,964,28,24,0,4,0,67,1,0,27,0,216,9,4,24,2,2,71,6912
decision making,91,1,96,17,29,12,120,25,12,34,2,48,35,373,64,15,54,0,6,44,40,98,5,25,10,36,77,17,139,44,12,2,20,343,127,47,53,50,84,102,42,46,291,282,96,3,132,789,24,21,87,39,2103,195,177,6736
purchasing,93,1,1502,9,3,2,8,9,96,16,0,138,65,227,29,0,1,0,0,28,13,1,11,13,2,10,4,20,207,65,0,0,7,69,1,10,4,2,27,6,68,16,45,23,41,2,18,4,4,3651,14,0,0,31,67,6683
career development,12,1,0,5,3,1,54,2,0,2,0,1,9,10,6,4,19,0,2945,722,1,2,16,0,15,4,26,128,7,43,0,1,35,674,0,7,128,26,18,40,21,2,139,55,125,10,11,0,24,7,37,38,13,1,1103,6553
consulting,68,5,35,9,56,33,274,14,2,39,0,11,9,3,27,144,80,0,4,25,17,169,7,26,11,29,225,141,152,45,0,11,7,579,218,52,28,173,234,365,10,11,4,317,27,1,148,6,32,435,96,1421,48,9,570,6462
sanitation,0,0,0,1,2036,7,0,0,0,0,0,1,0,429,0,2,0,813,0,0,0,0,1,4,0,338,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,26,372,0,0,17,0,0,0,2345,13,0,1,10,0,6423
unit testing,42,0,4,9,0,0,22,2,0,4,0,0,11,0,37,1,27,0,0,16,0,87,1,3,7,4,35,0,108,11,7,4,1,46,5,29,22,15,0,17,9,1,0,11,35,1,41,0,67,128,11,5223,5,1,112,6222
cash handling,0,521,2,0,0,29,0,0,3,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,38,0,0,2240,0,0,0,0,0,0,0,812,0,0,0,0,14,56,0,0,10,3,2137,60,0,9,0,0,1,0,6001
timelines,39,0,18,9,34,5,65,28,3,51,0,17,14,7,51,5,15,0,2,13,13,80,2,29,0,29,38,5,80,40,0,12,8,291,135,106,45,17,84,58,11,9,2,75,36,6,75,778,17,326,42,2987,9,3,84,5908
installation,187,0,106,21,2,5,18,344,424,23,2,157,25,8,79,216,5,0,8,263,8,10,98,11,10,31,9,0,41,155,0,5,6,77,10,24,6,26,473,42,135,7,36,9,255,6,22,4,10,66,40,2124,37,7,192,5885
programming,150,0,39,175,6,1,189,13,6,15,0,80,61,64,94,36,70,0,19,160,13,195,14,6,23,34,54,3,114,40,1,23,25,1360,153,474,66,224,43,399,66,7,4,80,201,3,89,3,47,48,153,83,70,4,536,5836
quality assurance,58,4,15,12,2,73,49,16,1,18,1,59,37,639,48,17,3,0,1,60,177,20,7,34,16,16,42,10,78,74,3,42,6,277,54,45,28,186,65,40,74,37,2046,57,99,0,188,2,13,561,33,111,21,119,107,5801
performance management,51,1,16,9,8,3,60,15,98,15,0,270,2,30,15,5,14,0,42,22,10,18,23,11,0,22,24,10,19,47,0,24,11,143,52,23,7,45,80,74,21,8,5,43,40,1,47,1516,4,366,42,1867,382,26,68,5755
preventive maintenance,59,3,74,18,2,9,3,7,0,21,0,181,6,274,52,18,3,0,17,26,89,0,499,18,1,14,0,2,1,140,0,52,80,99,1,1,0,0,904,0,29,28,2562,0,116,28,12,1,0,204,14,0,41,17,15,5741
risk management,61,0,0,10,9,3,61,4,2,8,0,6,6,2,39,3,38,0,0,46,7,176,4,13,11,15,17,3,910,87,1,3,11,270,78,32,330,326,109,45,81,23,2,53,216,1,67,2,1402,35,26,858,11,126,81,5730
electronics,273,0,39,26,1,0,182,360,741,14,1,150,52,61,113,12,11,0,15,227,770,6,15,23,6,111,21,36,14,82,0,31,10,245,45,252,19,10,98,14,268,25,374,33,407,91,99,1,5,14,26,68,27,31,90,5645
organizational skills,130,3,76,16,27,0,37,716,4,386,1,12,27,22,76,16,42,0,0,168,181,29,12,29,4,118,88,19,138,83,5,52,33,461,110,178,477,70,214,157,106,29,161,36,198,25,145,0,96,14,154,10,109,141,195,5636
infrastructure,84,0,125,71,11,2,203,21,9,18,0,9,115,0,74,70,132,0,0,85,7,154,6,13,11,14,85,38,179,19,4,9,0,707,48,227,42,99,43,348,24,2,7,532,157,1,95,2,25,33,46,836,41,7,711,5601
peer review,8,0,2,4,0,0,0,1,0,0,0,0,22,0,1,3,12,0,0,25,2,1,0,1,0,0,7,0,11,2,0,1,0,5,0,5,4,1,6,2,60,7,32,7,49,0,17,0,3,0,2,5133,1,14,16,5467
relationship building,77,1,29,6,6,0,122,0,2158,14,0,4,6,3,14,160,26,2,4,13,2,24,5,14,0,156,70,30,291,25,1,68,3,96,45,37,1080,11,46,64,13,6,41,62,19,1,60,4,7,302,31,28,23,1,134,5445
numbers,7,2,10,3,2,232,51,2864,0,2,0,547,3,7,8,0,57,0,0,4,10,2,3,3,0,10,23,10,3,22,8,27,70,83,11,66,3,5,13,10,14,21,798,8,12,0,6,41,17,38,12,52,0,16,20,5236
revisions,3,0,0,0,4,0,1,0,0,2,0,4,0,0,1,2,0,0,0,16,7,4,0,0,0,0,5,0,0,5,0,1,4,3,15,1,1,4,2,0,4,2,0,0,4,0,8,4223,1,0,2,0,830,10,2,5171
verbal communication skills,91,5,90,54,18,0,49,28,0,4,1,33,21,3,32,40,90,0,1,174,66,138,2,20,7,52,49,12,46,68,0,11,34,855,39,299,61,64,1152,175,80,10,90,14,257,10,142,3,82,10,106,12,41,151,243,5135
diversity and inclusion,29,1599,2,2,1,0,22,0,1,0,0,0,3,0,0,0,1674,0,0,2,0,0,5,1,2,4,3,0,101,47,0,0,0,22,10,3,28,2,2,2,15,611,1,57,31,0,16,0,0,160,23,600,2,0,23,5106
negotiation,266,0,32,20,26,3,75,56,6,31,3,46,39,20,137,155,106,0,1,103,25,222,23,35,6,71,295,16,70,122,7,37,18,418,234,185,60,77,187,247,132,8,24,69,236,2,76,16,121,39,110,22,10,463,294,5102
creativity,173,2,3,10,34,0,64,2,6,17,0,7,74,135,22,4,28,0,0,138,22,101,17,2,38,34,10,7,16,163,5,1,1,227,39,174,19,50,14,2378,14,8,7,229,137,9,26,0,4,28,183,6,162,23,207,5080
accounting,174,1,77,10,14,10,61,24,0,35,22,62,9,386,58,7,83,0,43,30,18,65,32,36,29,116,118,17,255,74,2,78,23,355,73,47,151,444,378,69,84,36,85,28,232,4,139,17,215,171,154,19,72,139,154,5035
configuration management,21,0,2,9,1,0,10,0,1,0,0,3,15,0,24,15,5,0,0,192,0,8,3,0,8,1,6,1,40,9,0,1,2,52,18,64,14,12,4,54,96,0,0,7,194,0,10,0,2,2,11,4044,1,0,60,5022
software engineering,86,0,15,81,13,0,187,12,7,2,0,4,69,0,51,20,29,0,0,220,4,151,2,7,3,7,12,0,188,40,16,9,0,868,1,299,11,22,3,231,137,0,5,397,306,1,218,1,29,311,55,27,45,1,811,5014
product management,141,0,117,10,65,1,285,4,10,14,0,12,27,2,124,63,63,0,0,2,10,224,3,18,1,49,69,4,51,101,7,5,2,748,219,121,20,84,21,647,19,0,13,177,21,10,70,3,26,198,71,19,5,1,924,4901
cleanliness,47,2,14,0,0,903,0,4,2,1,0,74,0,600,1,0,0,0,0,5,176,0,24,1,0,185,0,10,1,18,0,5,0,20,1,2,1,0,5,0,1,37,928,0,4,1200,8,0,0,430,13,0,15,50,1,4789
business development,170,0,16,5,2,0,52,2,1,14,0,45,8,0,13,21,30,0,283,42,9,176,9,29,3,13,110,22,33,39,0,35,66,685,134,45,95,93,197,180,174,9,0,122,130,0,77,4,120,18,54,1214,2,21,125,4747
collective bargaining,3,499,0,0,0,0,0,0,0,0,0,3,12,4,1,0,3,0,0,22,0,0,1,7,0,79,0,0,0,12,0,0,1,0,3968,1,0,0,2,0,58,0,8,0,8,0,0,0,0,0,13,0,0,0,0,4705
counters,0,0,1,1,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,4,0,0,0,0,0,13,3,0,0,1,0,0,0,36,0,13,0,0,8,0,3,1,197,1,23,3,3,4201,0,0,0,48,5,2,2,4574
business priorities,8,0,0,4,14,1,18,27,1,10,0,0,2,2,13,151,4,0,0,1,1,26,0,2,1,6,4,1,6,8,0,0,0,95,39,15,7,13,1,56,6,0,3,208,11,1,13,1,0,170,13,2,3481,1,44,4491
investments,36,0,4,11,27,0,56,0,3,2,0,2,8,3,17,6,1,0,0,30,3,27,4,4,0,16,48,4,526,11,0,0,6,181,64,13,1534,386,295,88,36,1,2,374,72,0,13,7,193,8,28,24,192,6,103,4475
project planning,86,0,48,11,3,1,26,22,1,12,0,20,9,1,30,3,12,0,1,34,7,20,3,3,2,18,10,0,15,23,0,5,29,58,10,36,1,76,18,27,28,3,4,42,50,0,14,0,4,5,14,3583,2,1,21,4452
functional requirement,18,0,7,1,5,0,0,0,0,1,0,21,4,0,8,2,5,0,0,10,4,6,3,1,0,3,3,2,12,3,0,3,1,46,5,14,11,47,2,17,15,0,0,16,16,0,7,3,3,3,7,4087,0,0,27,4449
test data,5,0,1,3,0,0,5,0,0,0,0,33,6,0,14,14,3,0,0,28,2,0,0,1,0,3,3,0,67,12,0,0,1,10,9,22,22,134,1,1,32,2,2,5,59,0,5,0,0,2,1,3867,1,2,12,4390
critical thinking,38,0,41,9,23,0,113,36,0,15,1,5,19,3,51,10,66,0,0,69,12,47,7,27,7,10,173,94,164,75,0,19,2,122,141,331,1056,26,33,108,34,387,16,86,151,3,152,4,44,6,44,22,24,359,102,4387
english language,43,0,0,1,0,0,1,0,0,140,0,47,2,13,36,5,0,0,0,0,38,7,1,0,14,0,26,0,12,29,0,2,1042,56,0,31,1,8,30,35,21,14,0,4,23,2415,18,0,1,2,9,7,0,128,61,4323
program management,161,0,6,29,48,1,246,0,1,13,0,49,50,0,34,8,59,0,1,276,4,83,2,10,0,23,15,4,41,36,0,8,3,864,135,182,4,23,47,178,329,3,1,332,545,5,29,6,2,42,29,65,4,3,258,4297
food services,0,0,0,0,0,867,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,0,9,97,0,0,0,0,0,0,68,0,2,0,0,54,1,0,36,37,0,0,24,0,0,0,3,1,0,2991,86,0,4289
prioritization,40,1,47,19,128,3,110,205,5,9,2,16,17,4,20,26,93,0,1,16,23,65,9,10,9,32,33,8,47,48,5,3,5,399,92,98,24,25,42,95,23,14,24,172,56,12,90,4,24,31,72,1684,38,23,171,4272
time management,0,0,0,0,0,0,31,38,1,45,1,9,0,14,0,602,0,0,22,49,13,57,124,49,10,36,510,19,82,87,2,85,103,319,94,145,403,55,118,101,72,45,52,22,190,2,145,34,131,9,131,15,14,70,105,4261
ethical conduct,1,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,4169,2,1,4205
framework7,68,0,53,25,9,0,50,1,2,7,1,7,25,2,67,9,38,0,1,41,11,120,3,7,5,13,37,0,198,27,3,11,0,157,15,134,40,116,36,104,19,3,5,181,52,2,61,6,21,29,26,2143,28,5,166,4190
coordinating,126,1,12,13,14,2,76,12,3,29,0,25,19,40,45,35,46,39,19,136,24,63,10,19,8,52,36,14,76,77,3,9,27,335,492,60,121,133,109,74,67,137,9,121,169,7,101,7,16,241,67,21,4,587,169,4157
stock rotation,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,11,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4111,0,4,1,0,0,1,0,4143
linux,99,0,39,104,3,0,67,24,4,1,0,7,27,0,70,61,55,0,1,338,4,92,17,2,6,9,38,0,117,26,0,8,4,558,20,183,51,26,32,525,138,0,0,113,420,3,35,0,4,23,85,22,14,0,597,4072
data analysis,102,0,97,61,10,2,177,6,1,15,1,19,22,3,59,41,37,0,11,128,24,100,15,16,5,22,22,14,113,104,0,54,13,537,242,333,36,59,37,58,75,18,6,198,176,1,165,8,17,75,53,499,11,24,129,4051
employment applications,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3992,4,0,0,0,38,0,0,1,0,4037
mechanicals,275,1,35,31,3,1,163,5,0,12,2,118,57,108,169,4,3,0,20,211,0,0,257,21,12,10,1,30,2,168,0,49,10,182,0,265,0,0,732,14,306,16,83,40,375,0,12,1,0,4,17,2,145,16,41,4029
product quality,242,0,13,5,1,0,32,105,0,0,0,29,10,243,51,2,2,0,75,36,1,12,10,5,3,157,13,0,3,55,3,1,0,43,20,68,3,8,0,76,39,0,226,327,73,1,4,2,0,1862,11,2,1,0,113,3988
financial education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3958,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3962
