Skills,Apple,AmeriSourceBergen,Berkshire Hathaway,AT&T,McKesson,Exxon Mobil,General Motors,UnitedHealth Group,Walgreens,Verizon,Amazon,Walmart,CVS Health,Total
transformation,12,2,3,28,1,5,18,4,15,11,1,1,0,101
infrastructure,0,6,7,9,4,8,21,8,0,21,15,1,0,100
written communication,2,8,7,1,9,20,21,12,0,4,12,0,2,98
space technology,0,0,0,0,0,0,0,0,0,97,0,0,0,97
closing,0,1,3,0,0,1,0,1,7,26,2,0,56,97
diversity and inclusion,0,0,0,0,0,0,1,0,0,95,0,0,0,96
scale,1,2,0,16,2,2,13,11,0,6,34,7,0,94
go,1,0,0,2,4,1,0,59,0,2,5,17,1,92
compassion,1,0,0,0,0,0,0,24,0,0,0,0,66,91
organizational skills,13,52,5,2,3,1,4,5,0,0,5,0,0,90
refinancing,0,0,0,0,0,0,89,0,0,0,0,0,0,89
devops,0,1,4,44,2,15,9,11,0,1,2,0,0,89
information technology,0,5,9,2,3,23,20,10,8,5,3,1,0,89
reliability,0,2,2,23,0,9,5,2,0,26,17,1,0,87
analytics,0,6,10,2,11,14,6,9,0,15,11,1,2,87
microsoft office,0,15,13,0,5,7,10,10,0,18,7,1,1,87
asset protection,0,0,0,0,0,0,0,0,84,0,0,0,2,86
employee assistance programs,0,0,49,0,9,0,1,24,0,1,0,0,0,84
application deployment,0,0,0,1,82,0,0,0,0,0,0,0,0,83
employment applications,0,0,0,0,82,0,0,0,0,0,0,0,0,82
s expression,0,0,0,0,0,0,0,81,0,0,0,0,0,81
customer support,17,2,0,5,2,1,2,1,7,0,5,0,38,80
google+,0,0,50,4,1,1,0,1,0,21,1,0,0,79
adp vantage,15,1,6,1,15,18,5,13,0,0,4,0,0,78
interactive c,1,0,3,0,1,0,0,69,0,0,2,1,0,77
mobile app,0,0,0,4,0,0,1,67,0,2,2,1,0,77
c,0,0,5,11,2,9,25,7,0,0,17,0,0,76
process improvements,0,6,3,3,6,9,3,10,0,16,13,7,0,76
scheduling,0,10,0,0,1,0,2,5,42,3,4,6,0,73
c#,0,0,5,11,2,9,21,7,0,0,17,0,0,72
c++,0,0,5,11,2,9,21,7,0,0,17,0,0,72
supply chain,9,1,0,1,12,14,7,0,0,9,15,2,0,70
accountability,1,3,0,1,3,4,12,7,0,3,2,4,30,70
revisions,0,1,6,0,1,0,0,0,60,0,0,0,0,68
self starter,0,2,2,35,2,4,3,2,0,9,7,2,0,68
interactive voice response,0,0,0,0,0,0,0,67,0,0,0,0,0,67
computer terminals,0,0,1,0,0,0,0,0,0,0,0,0,65,66
visual inspections,0,0,0,0,0,0,0,0,0,0,0,0,65,65
ping,0,0,0,6,0,1,58,0,0,0,0,0,0,65
purchasing,5,2,0,0,3,1,12,0,0,3,1,38,0,65
mental health,0,0,49,0,7,0,0,7,0,0,1,0,0,64
team management,3,1,1,2,8,1,2,1,0,3,12,0,29,63
teamwork,0,3,12,0,3,17,6,1,8,7,6,0,0,63
electrical engineering,0,0,0,1,0,1,22,0,0,33,5,0,0,62
electronics,0,4,7,0,7,0,16,22,0,0,1,3,2,62
supervisord,0,2,8,0,4,2,2,5,13,0,0,4,21,61
objective j,0,1,3,2,0,3,0,50,0,0,1,0,0,60
less,0,7,1,5,3,2,0,6,7,1,1,27,0,60
superstructure,0,0,0,0,0,0,0,0,59,0,0,0,0,59
foods,0,0,0,0,0,0,0,0,56,0,0,3,0,59
collections,0,10,1,0,3,4,2,6,26,0,6,1,0,59
consumables,1,0,0,0,0,0,0,0,56,0,1,0,0,58
big data,0,0,0,27,0,3,4,4,0,13,6,1,0,58
decision making,1,7,17,0,3,3,11,3,4,1,7,1,0,58
stock rotation,0,0,0,0,0,0,0,0,56,0,0,0,0,56
exec,0,0,0,0,0,0,55,0,0,0,0,0,0,55
kubernetes,0,0,4,1,1,4,12,5,0,28,0,0,0,55
law enforcement,0,0,51,0,1,1,0,0,0,0,1,0,0,54
inventory control,0,0,0,0,0,0,1,1,50,0,2,0,0,54
social media,0,0,49,0,0,1,0,2,0,1,1,0,0,54
indicators,0,9,2,0,2,3,1,2,4,26,5,0,0,54
nursing,0,10,1,0,3,1,0,12,26,0,0,0,1,54
opera,0,0,0,0,0,0,53,0,0,0,0,0,0,53
workers compensation,0,0,51,0,0,0,0,0,0,0,2,0,0,53
enforcement,0,1,49,0,1,1,0,0,0,0,1,0,0,53
docker,0,1,4,2,1,8,10,5,0,21,0,1,0,53
joint ventures,0,0,0,0,0,50,2,0,0,0,0,0,0,52
merchandising,6,0,0,17,2,0,1,0,1,0,5,14,6,52
quality improvement,0,2,0,0,0,0,2,4,44,0,0,0,0,52
framework7,0,4,13,1,0,8,8,6,0,6,6,0,0,52
negotiation,10,4,7,6,7,5,6,1,0,4,2,0,0,52
cash handling,0,0,0,0,0,0,0,0,16,0,0,0,35,51
microsoft word,0,31,12,0,1,0,1,5,0,0,1,0,0,51
job descriptions,0,0,2,1,1,6,0,0,0,0,1,36,3,50
software engineering,0,0,13,3,0,0,13,6,0,0,12,3,0,50
registration,0,2,0,0,1,0,0,2,11,0,0,3,31,50
creativity,0,3,5,1,2,17,15,1,0,6,0,0,0,50
bilingual,0,10,4,0,4,0,0,28,0,0,2,0,2,50
google hangouts,0,0,49,0,0,0,0,0,0,0,0,0,0,49
linux,0,0,0,21,1,5,6,1,0,9,6,0,0,49
git,0,1,7,8,0,15,13,3,0,1,1,0,0,49
tracking,0,5,4,0,3,2,1,7,1,4,10,11,1,49
business requirements,0,7,4,2,1,4,7,9,0,9,5,1,0,49
operational excellence,0,1,0,0,2,1,0,0,0,1,6,8,29,48
jdeveloper,0,2,1,8,0,8,14,4,0,0,11,0,0,48
activiti,0,0,0,0,0,0,47,0,0,0,0,0,0,47
information organization,0,0,47,0,0,0,0,0,0,0,0,0,0,47
mediation,0,0,0,0,3,0,8,13,10,0,0,11,1,46
mobility,8,3,0,3,0,0,24,0,0,8,0,0,0,46
data analysis,0,5,0,1,3,2,4,11,0,11,7,2,0,46
time management,13,6,2,1,4,4,5,3,0,1,7,0,0,46
interpersonal communications,5,6,3,0,4,7,7,3,0,4,6,1,0,46
timelines,0,12,4,0,2,1,8,5,4,0,3,7,0,46
information systems,0,13,2,0,0,3,1,1,0,21,5,0,0,46
validations,0,1,3,1,0,5,26,4,0,2,2,1,0,45
verbal communication skills,10,3,0,2,1,4,9,4,0,2,9,1,0,45
consulting,0,6,0,3,3,5,0,7,4,6,7,3,1,45
business administration,0,21,0,0,4,11,1,3,0,2,3,0,0,45
counters,0,0,0,0,0,0,0,1,43,0,0,0,0,44
prototype,0,0,14,4,2,0,10,4,0,0,8,2,0,44
information processor,0,0,0,0,0,0,0,2,41,0,0,0,0,43
visualization,0,0,2,5,3,8,4,1,0,17,3,0,0,43
management systems,0,4,5,1,3,3,12,4,0,0,9,2,0,43
s interface,0,2,3,2,1,11,15,0,0,0,7,1,0,42
sourcing,0,4,4,0,5,0,21,2,0,3,2,1,0,42
lysis,0,0,0,0,0,0,41,0,0,0,0,0,0,41
task management,0,0,0,0,1,0,1,0,4,0,0,0,35,41
machine learning,0,0,3,2,1,2,5,1,0,12,15,0,0,41
mcollective,0,1,0,0,2,2,4,0,0,0,2,0,30,41
user experience,0,1,5,1,2,3,1,1,0,21,6,0,0,41
scripting,0,1,3,4,3,9,2,6,0,7,5,1,0,41
accounting,0,8,3,2,5,14,1,2,0,1,1,4,0,41
personal protective equipment,0,0,0,17,0,0,0,23,0,0,0,0,0,40
mechanicals,0,0,0,0,10,5,23,0,0,0,2,0,0,40
computer engineering,0,1,1,1,0,4,16,0,0,10,7,0,0,40
pharmacy operations,0,0,0,0,2,0,0,0,37,0,0,0,0,39
visual acuity,0,0,0,0,1,0,0,0,0,0,0,2,36,39
lte,0,0,0,0,0,0,5,0,0,34,0,0,0,39
technology solutions,20,1,3,3,3,1,3,3,0,0,2,0,0,39
technical support,15,1,9,0,0,7,4,0,0,1,2,0,0,39
change management,0,3,0,10,5,11,3,1,0,1,4,1,0,39
unpacking,0,0,0,0,0,0,0,0,37,0,1,0,0,38
unittest++,0,0,0,21,0,10,3,3,0,0,1,0,0,38
pharmacy practices,0,1,0,0,0,0,0,0,37,0,0,0,0,38
javascript,0,2,5,11,0,8,5,1,0,0,6,0,0,38
authorization,0,3,6,0,14,2,1,7,0,3,1,1,0,38
quality assurance,0,4,7,0,3,3,6,9,0,0,1,4,1,38
development support,0,5,0,0,3,6,12,1,0,5,0,0,6,38
information sciences,0,7,2,1,0,0,3,1,0,20,3,1,0,38
tableau,0,1,0,0,4,6,3,0,0,18,4,1,0,37
medicare,0,0,2,0,0,0,0,34,0,0,0,0,0,36
state laws,0,0,2,0,0,0,0,1,1,0,1,0,31,36
bargaining,0,0,0,0,2,1,3,0,0,0,0,0,30,36
collective bargaining,0,0,0,0,2,1,3,0,0,0,0,0,30,36
health systems,0,0,0,0,8,0,0,27,0,0,1,0,0,36
licensing,0,1,2,0,0,1,0,1,0,0,1,0,30,36
investigation,0,1,14,0,1,9,1,2,0,0,5,3,0,36
home care,0,7,0,0,17,0,0,12,0,0,0,0,0,36
loyalty programs,0,0,0,0,0,0,0,0,0,0,0,0,35,35
restocking shelves,0,0,0,0,0,0,0,0,0,0,0,0,35,35
devaluation,0,2,2,0,2,8,8,3,4,0,4,2,0,35
revaluation,0,2,2,0,2,8,8,3,4,0,4,2,0,35
team oriented,0,5,0,1,15,2,2,1,0,0,2,7,0,35
github,0,0,0,0,0,2,0,6,0,26,0,0,0,34
performance tuning,0,0,0,23,0,0,10,0,0,0,1,0,0,34
medical management,0,0,10,0,1,0,0,22,0,0,0,0,1,34
agility,4,0,0,21,0,0,5,1,0,2,1,0,0,34
team leadership,9,2,2,1,3,1,0,3,3,6,4,0,0,34
grafana,0,0,0,0,0,0,0,1,0,32,0,0,0,33
software development life cycle,0,0,0,22,1,0,1,2,0,0,7,0,0,33
jcomponent,0,0,2,1,1,1,21,2,0,1,3,0,1,33
parameter,0,2,8,0,0,1,3,0,0,18,1,0,0,33
workflows,0,3,3,1,5,4,1,1,0,6,9,0,0,33
prioritization,2,4,6,0,0,2,4,3,0,5,7,0,0,33
patient safety,0,0,0,0,1,0,0,1,0,0,0,0,30,32
digital transformation,0,0,0,27,0,1,0,0,0,4,0,0,0,32
mentorship,1,0,12,1,1,0,2,2,0,0,11,2,0,32
curiosity,10,0,0,9,1,1,2,0,0,3,6,0,0,32
business development,12,2,2,0,4,0,2,1,0,0,8,0,1,32
scrum,0,2,3,1,1,8,10,3,0,0,3,1,0,32
operating systems,0,8,1,18,0,0,2,2,0,0,1,0,0,32
performance management,0,8,2,0,1,0,0,2,12,1,3,2,1,32
transcribing,0,0,0,0,0,0,0,0,0,0,0,1,30,31
zoning,0,0,3,0,0,0,0,0,0,1,0,27,0,31
long-term care,0,0,0,0,25,0,0,6,0,0,0,0,0,31
persona,0,0,0,5,1,25,0,0,0,0,0,0,0,31
product quality,0,0,3,0,0,1,2,3,0,1,1,20,0,31
throughput,0,0,0,0,1,0,11,0,0,19,0,0,0,31
performance improvement,0,1,0,0,1,0,1,3,5,18,2,0,0,31
coordinating,0,2,6,1,5,2,0,2,7,0,3,3,0,31
critical thinking,0,6,5,0,1,3,3,4,0,8,1,0,0,31
teaching,12,0,0,7,0,0,1,1,0,0,2,7,0,30
code review,0,0,10,2,0,0,5,2,0,1,10,0,0,30
statistica,0,2,8,1,2,3,5,3,0,0,5,1,0,30
business systems,0,3,0,1,0,2,16,1,0,6,1,0,0,30
call centers,0,4,7,0,0,0,2,11,0,1,3,0,2,30
management process,10,4,0,2,2,6,2,1,0,1,2,0,0,30
process management,10,4,0,2,2,6,2,1,0,1,2,0,0,30
safety standards,0,8,0,0,0,1,1,1,0,0,0,19,0,30
algorithms,0,0,0,0,1,1,13,2,0,0,11,1,0,29
debugging,0,0,0,0,0,12,9,4,0,0,3,1,0,29
jenkins,0,0,0,9,0,7,3,8,0,1,0,1,0,29
applications architecture,0,2,0,22,0,1,1,2,0,0,1,0,0,29
dashboard,0,2,2,9,4,1,4,0,0,0,6,1,0,29
english language,0,22,0,1,0,2,1,0,0,0,3,0,0,29
call flow,0,0,0,0,0,0,0,0,0,28,0,0,0,28
sanitation,0,0,0,0,0,0,0,0,0,0,0,27,1,28
nursing homes,0,0,0,0,0,0,0,2,26,0,0,0,0,28
wireshark,0,0,2,0,0,0,0,0,0,26,0,0,0,28
modo,0,0,0,0,0,25,0,3,0,0,0,0,0,28
agile methodology,0,0,3,21,0,1,1,2,0,0,0,0,0,28
front end,0,0,0,0,0,4,4,3,0,0,6,11,0,28
experience design,0,0,3,1,1,3,7,1,0,7,5,0,0,28
web services,0,1,0,2,1,3,2,2,0,0,17,0,0,28
regulatory compliance,0,1,1,0,3,2,0,1,16,1,2,0,1,28
case analysis,0,1,3,5,0,5,9,1,0,2,1,1,0,28
root cause analysis,0,1,3,5,0,5,8,1,0,2,2,1,0,28
tool management,0,3,2,0,2,3,2,1,0,11,2,2,0,28
stocks,0,18,0,0,0,0,0,0,0,0,0,10,0,28
ndepend,0,0,0,0,0,0,27,0,0,0,0,0,0,27
prometheus,0,0,0,0,0,0,0,1,0,26,0,0,0,27
dental health,0,0,2,0,0,0,0,25,0,0,0,0,0,27
operations management,0,0,0,0,4,1,0,0,0,0,2,0,20,27
system administration,0,0,2,0,0,5,1,0,0,18,1,0,0,27
account management,11,0,0,6,2,2,2,1,0,0,2,0,1,27
service quality,1,1,1,0,0,0,2,1,0,0,1,20,0,27
nosql,0,1,7,4,1,1,2,4,0,6,1,0,0,27
data entry,0,2,9,0,2,0,0,10,4,0,0,0,0,27
product management,0,2,7,1,3,1,3,0,0,3,7,0,0,27
3gpp,0,0,0,0,0,0,0,0,0,26,0,0,0,26
network element,0,0,0,0,0,0,0,0,0,26,0,0,0,26
fault,0,0,0,24,0,0,1,0,0,0,1,0,0,26
medical records,0,0,6,0,1,0,0,19,0,0,0,0,0,26
electrical systems,0,0,0,0,2,0,6,0,0,18,0,0,0,26
retail sales,0,0,0,17,0,0,1,1,0,6,0,1,0,26
ansible,0,0,0,14,2,8,0,0,0,2,0,0,0,26
journals,0,1,17,0,0,0,0,1,7,0,0,0,0,26
data science,0,1,0,2,1,4,1,2,0,9,6,0,0,26
cyber security,0,1,3,8,0,5,5,1,0,3,0,0,0,26
network infrastructure,0,2,0,0,2,1,2,0,0,18,1,0,0,26
paperworks,0,3,0,0,1,1,0,3,0,0,0,18,0,26
detail oriented,0,3,2,0,2,0,4,9,0,0,6,0,0,26
reduction,0,4,0,0,0,4,10,0,0,6,2,0,0,26
governance,0,4,8,0,4,1,1,2,0,3,2,1,0,26
program management,0,5,1,0,1,0,6,1,0,4,8,0,0,26
telecommuting,0,0,0,0,0,0,0,25,0,0,0,0,0,25
database application,0,0,1,23,0,1,0,0,0,0,0,0,0,25
systems analysis,0,0,0,2,0,0,4,0,0,18,1,0,0,25
conflict resolution,0,0,2,0,1,3,6,1,0,12,0,0,0,25
application development,0,3,4,3,2,2,9,1,0,0,1,0,0,25
service level,0,5,2,1,2,0,0,7,0,0,2,0,6,25
novation,0,0,0,0,0,1,23,0,0,0,0,0,0,24
multimedia,0,0,0,21,0,0,0,0,0,1,2,0,0,24
azure devops,0,0,7,0,0,12,5,0,0,0,0,0,0,24
microservices,0,0,3,5,0,0,8,2,0,0,4,2,0,24
usability,1,0,0,3,1,4,8,1,0,1,5,0,0,24
unix,0,1,0,13,0,2,1,1,0,6,0,0,0,24
r,0,2,0,0,1,2,0,2,0,11,5,1,0,24
data management,0,2,10,2,1,3,1,2,0,1,2,0,0,24
statistics,0,2,6,0,1,3,0,4,0,3,4,1,0,24
economics,0,3,0,0,0,11,0,2,0,4,4,0,0,24
staging,0,9,0,0,0,0,5,0,0,0,0,10,0,24
eviews,0,0,0,0,0,0,23,0,0,0,0,0,0,23
communications management,0,0,0,0,2,1,1,0,0,18,1,0,0,23
network protocols,0,0,0,1,2,2,0,0,0,18,0,0,0,23
business transformation,12,0,0,0,0,1,0,1,0,9,0,0,0,23
systems design,0,1,0,1,0,6,12,0,0,0,3,0,0,23
process development,0,1,5,1,1,1,11,1,0,1,1,0,0,23
service management,0,2,0,0,1,1,2,14,0,0,3,0,0,23
spreadsheets,0,2,8,0,1,0,1,7,0,1,2,1,0,23
service provider,0,2,3,1,1,3,4,5,0,4,0,0,0,23
service provider,0,2,3,1,1,3,4,5,0,4,0,0,0,23
key performance indicators,0,7,0,0,2,1,0,2,0,8,3,0,0,23
apple products,22,0,0,0,0,0,0,0,0,0,0,0,0,22
international trade,0,0,0,0,0,22,0,0,0,0,0,0,0,22
lua,0,0,0,0,0,0,22,0,0,0,0,0,0,22
building performance,0,0,0,0,0,0,0,0,0,0,0,0,22,22
technical analysis,0,0,0,1,0,1,2,0,0,18,0,0,0,22
unit testing,0,0,10,0,0,3,3,3,0,0,1,2,0,22
e,0,0,1,0,0,1,0,8,0,0,2,10,0,22
billing,0,0,3,1,2,3,1,7,0,0,3,0,2,22
continuous integration,0,0,3,5,0,4,6,3,0,0,1,0,0,22
subsystems,0,1,0,0,0,0,21,0,0,0,0,0,0,22
system configuration,0,1,0,0,1,2,0,0,0,18,0,0,0,22
mitigation,0,3,0,2,2,1,5,1,0,5,3,0,0,22
petroleums,0,0,0,0,0,21,0,0,0,0,0,0,0,21
code testing,0,0,0,21,0,0,0,0,0,0,0,0,0,21
automotive industry,0,0,0,0,0,0,20,0,0,0,0,1,0,21
network architecture,0,0,0,0,2,0,1,0,0,18,0,0,0,21
network performance,0,0,0,0,1,0,1,0,0,18,1,0,0,21
scala,0,0,0,2,0,1,13,3,0,0,1,1,0,21
software systems,0,0,0,0,0,0,12,0,1,0,8,0,0,21
supply chain management,0,0,0,0,9,1,4,0,0,3,4,0,0,21
design specifications,0,1,7,1,0,2,7,3,0,0,0,0,0,21
relationship management,3,1,2,0,3,1,7,1,0,0,3,0,0,21
onboarding,1,1,2,1,4,0,0,2,4,2,3,0,1,21
web applications,0,2,10,1,1,2,1,3,0,1,0,0,0,21
value proposition,9,2,2,0,4,0,0,0,0,0,4,0,0,21
test case,0,2,7,0,0,0,8,2,0,1,1,0,0,21
business operations,0,2,2,0,2,4,1,4,0,1,5,0,0,21
managed care,0,3,0,0,1,0,0,17,0,0,0,0,0,21
milestones,0,3,3,0,0,0,12,0,0,3,0,0,0,21
procurement,0,3,0,1,4,6,3,1,0,2,1,0,0,21
relationship building,1,3,1,3,5,0,0,4,0,0,0,4,0,21
performance metric,0,7,0,0,7,0,0,1,0,0,6,0,0,21
openstack,0,0,0,0,0,0,0,0,0,20,0,0,0,20
certified pharmacy technician,0,0,0,0,0,0,0,1,19,0,0,0,0,20
platform tools,0,0,0,0,0,0,0,1,0,19,0,0,0,20
organizational performance,0,0,0,0,0,0,0,0,0,18,2,0,0,20
performance analysis,0,0,1,0,0,0,1,0,0,18,0,0,0,20
digitization,0,0,0,0,0,17,0,0,0,3,0,0,0,20
artificial intelligence,0,0,0,0,0,1,0,1,0,11,7,0,0,20
authentications,0,0,7,0,0,8,0,1,0,1,3,0,0,20
angular,0,0,0,1,0,7,7,3,0,0,2,0,0,20
telecommunications,0,1,8,3,0,3,0,0,0,4,1,0,0,20
question answering,0,2,1,0,0,0,0,0,1,0,1,15,0,20
forecasting,0,2,0,0,1,1,1,1,0,7,3,4,0,20
business acumen,0,2,0,0,2,1,4,1,3,3,4,0,0,20
business priorities,0,3,0,9,0,1,0,1,0,0,3,3,0,20
business process,0,4,0,1,0,2,6,4,0,1,2,0,0,20
mobile devices,0,0,0,18,0,0,0,1,0,0,0,0,0,19
maintenance engineering,0,0,0,0,0,0,0,0,0,18,1,0,0,19
network troubleshooting,0,0,0,0,0,0,1,0,0,18,0,0,0,19
mechanical engineering,0,0,0,0,0,1,17,0,0,0,1,0,0,19
system software,0,0,0,0,0,0,10,0,1,0,8,0,0,19
development testing,0,0,2,1,0,2,8,2,0,2,1,1,0,19
sorting,0,2,0,0,14,0,0,2,0,0,1,0,0,19
systems engineering,0,2,0,1,0,2,11,0,0,0,3,0,0,19
power bi,0,3,7,1,1,1,4,1,0,0,1,0,0,19
standard operating procedure,0,5,0,1,2,0,4,1,3,0,3,0,0,19
source data,0,6,0,0,2,2,1,3,0,0,4,1,0,19
health care industry,0,0,0,0,0,0,0,18,0,0,0,0,0,18
arity,0,0,0,0,0,0,18,0,0,0,0,0,0,18
iperf,0,0,0,0,0,0,0,0,0,18,0,0,0,18
jitter,0,0,0,0,0,0,0,0,0,18,0,0,0,18
packet loss,0,0,0,0,0,0,0,0,0,18,0,0,0,18
protocol analyzer,0,0,0,0,0,0,0,0,0,18,0,0,0,18
research reports,0,0,0,0,0,0,0,0,0,18,0,0,0,18
signaling,0,0,0,0,0,0,0,0,0,18,0,0,0,18
tcpdump,0,0,0,0,0,0,0,0,0,18,0,0,0,18
tcptrace,0,0,0,0,0,0,0,0,0,18,0,0,0,18
design codes,0,0,0,14,0,1,2,1,0,0,0,0,0,18
postgresql,0,0,0,12,0,0,4,1,0,0,1,0,0,18
relational databases,0,0,2,2,1,1,4,4,0,0,4,0,0,18
medical terminology,0,2,6,0,0,0,0,10,0,0,0,0,0,18
case management,0,3,2,0,2,1,0,6,0,0,3,0,1,18
customer satisfaction,0,3,0,0,3,3,2,2,0,0,1,4,0,18
data collection,0,7,0,0,0,3,2,2,0,0,4,0,0,18
management control,0,9,0,0,0,0,1,0,0,0,8,0,0,18
telematics,0,0,0,0,0,0,17,0,0,0,0,0,0,17
bookkeeping,0,0,0,0,0,0,0,0,17,0,0,0,0,17
communications server,0,0,0,0,0,0,0,0,17,0,0,0,0,17
object-oriented design,0,0,0,0,0,0,1,0,0,0,16,0,0,17
catalyst,0,0,0,0,15,0,0,1,0,1,0,0,0,17
empathy,12,0,2,1,0,0,0,0,0,0,0,1,1,17
healthcare services,0,0,0,0,0,0,0,4,11,0,1,0,1,17
control systems,0,0,2,0,3,0,10,1,0,0,1,0,0,17
personal computers,0,0,7,0,1,0,0,9,0,0,0,0,0,17
imagine,0,0,0,9,0,0,3,2,0,0,3,0,0,17
retail management,0,0,0,0,0,0,0,0,8,0,0,0,9,17
enthusiasm,7,0,0,0,1,0,1,0,1,0,4,2,1,17
ethernet,0,0,0,5,3,0,7,0,0,2,0,0,0,17
development environment,0,0,7,0,0,0,6,1,0,0,3,0,0,17
career development,0,0,0,0,1,4,2,0,0,3,6,1,0,17
vendor management,0,0,2,0,1,4,2,1,0,5,2,0,0,17
simulations,0,1,0,0,0,0,11,2,0,0,3,0,0,17
warehousing,0,1,0,1,0,1,4,2,0,6,2,0,0,17
financial analysis,0,2,0,0,1,7,1,1,0,0,2,3,0,17
system requirements,0,3,0,0,0,0,13,1,0,0,0,0,0,17
constructive feedback,0,3,3,0,0,0,0,0,11,0,0,0,0,17
people management,0,3,0,0,0,0,0,0,4,3,7,0,0,17
business intelligence,0,3,2,1,1,0,2,1,0,3,4,0,0,17
computer systems,0,5,3,0,3,0,2,4,0,0,0,0,0,17
ledgers,0,0,0,0,0,0,0,0,16,0,0,0,0,16
reverse logistics,0,0,0,0,0,0,0,0,16,0,0,0,0,16
taskstream,0,0,0,0,0,0,0,0,16,0,0,0,0,16
immunization,0,0,0,0,0,0,0,0,12,0,0,3,1,16
mysql,0,0,0,12,0,0,1,2,0,0,1,0,0,16
mysql++,0,0,0,12,0,0,1,2,0,0,1,0,0,16
composure,11,0,0,0,0,0,0,0,0,0,5,0,0,16
cloud computing,0,0,0,0,0,0,0,0,0,6,10,0,0,16
systems controls,0,0,2,0,3,0,9,1,0,0,1,0,0,16
network security,0,0,3,0,0,4,1,0,0,8,0,0,0,16
data visualization,0,0,0,0,3,3,1,1,0,6,2,0,0,16
jtemplates,0,0,5,0,0,4,2,0,0,2,2,1,0,16
templates,0,0,5,0,0,4,2,0,0,2,2,1,0,16
balancing,0,0,0,0,1,2,3,2,0,4,2,1,1,16
oncology,0,1,0,0,13,0,0,1,0,0,0,0,1,16
perl,0,1,0,1,0,0,0,3,0,11,0,0,0,16
sustainability,0,1,0,0,0,3,0,0,0,1,5,6,0,16
acting,1,2,0,0,1,1,7,2,0,0,2,0,0,16
functional requirement,0,2,0,0,0,1,4,1,0,6,2,0,0,16
service delivery,0,2,0,1,3,2,1,2,0,0,5,0,0,16
information management,0,3,8,0,0,2,2,1,0,0,0,0,0,16
auditing,0,5,3,0,1,1,0,4,0,0,2,0,0,16
nurse practitioner,0,0,0,0,0,0,0,15,0,0,0,0,0,15
monit,0,0,0,0,0,0,15,0,0,0,0,0,0,15
propulsion,0,0,0,0,0,0,15,0,0,0,0,0,0,15
business correspondence,0,0,15,0,0,0,0,0,0,0,0,0,0,15
entry point,0,0,0,0,0,0,0,0,15,0,0,0,0,15
entertainment technology,0,0,0,15,0,0,0,0,0,0,0,0,0,15
amazon web services,0,0,0,0,0,0,0,0,0,0,15,0,0,15
electronic medical record,0,0,0,0,1,0,0,14,0,0,0,0,0,15
virtualization,0,0,0,0,0,4,1,0,0,9,1,0,0,15
triage,0,0,1,6,1,0,1,5,0,0,1,0,0,15
test automation,0,0,3,3,1,0,5,2,0,0,1,0,0,15
production support,0,0,0,5,0,2,4,3,0,1,0,0,0,15
